Name,Hits,Atbats,Hrs,Walks,1bs,2bs,3bs,So,RBI,Ba,Obp,Slg,Ops,pName,Innings,Runs,Ks,pHits,pWalks,Hr,Position,Opps,Throwouts
Wednesday,11.0,31.0,0.0,0.0,6.0,5.0,0.0,5.0,0.0,354.0,354.0,516.0,0.87,1 Trevis,10,1,24,5,5,0,2B,9.0,3.0
Strange,8.0,29.0,0.0,2.0,6.0,1.0,1.0,6.0,1.0,275.0,322.0,379.0,0.701,2. Karla,10,2,18,8,4,1,3B,15.0,5.0
Wilder,4.0,30.0,0.0,1.0,3.0,1.0,0.0,7.0,0.0,133.0,161.0,166.0,0.327,3 Chelsea,5,2,7,7,2,0,SS,12.0,8.0
Vickie,8.0,29.0,3.0,1.0,4.0,1.0,0.0,12.0,8.0,275.0,3.0,620.0,0.92,4 Herriot,5,0,4,2,0,0,LF,16.0,7.0
Queen,9.0,28.0,0.0,1.0,3.0,5.0,1.0,9.0,2.0,321.0,344.0,571.0,0.916,5 Marie,5,2,2,4,0,1,CF,18.0,11.0
Gallego,2.0,26.0,0.0,2.0,1.0,1.0,0.0,11.0,1.0,76.0,142.0,115.0,0.258,6 Pascual,7,2,11,3,3,1,RF,7.0,3.0
Shana,4.0,26.0,1.0,0.0,1.0,2.0,0.0,9.0,2.0,153.0,153.0,346.0,0.5,7 Lopez,5,2,2,7,0,1,,,
Hart,4.0,25.0,0.0,0.0,2.0,2.0,0.0,15.0,1.0,16.0,16.0,24.0,0.4,8 Clement,6,1,9,7,1,0,,,
Forest,0.0,24.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,9 Carman,6,1,11,2,2,1,,,
,,,,,,,,,,,,,,10 Vazquez,6,0,17,0,1,0,,,
