Name,Hits,Atbats,Hrs,Walks,1bs,2bs,3bs,So,RBI,Ba,Obp,Slg,Ops,pName,Innings,Runs,Ks,pHits,pWalks,Hr,Position,Opps,Throwouts
Logan,74.0,329.0,25.0,0.0,28.0,17.0,4.0,0.0,0.0,224.0,224.0,528.0,0.753,Drax,80,38,82,80,6,1,2B,19.0,12.0
Haley,84.0,324.0,25.0,1.0,20.0,28.0,11.0,1.0,1.0,259.0,261.0,645.0,0.906,Donald,40,27,55,46,3,3,3B,12.0,10.0
Katheryn,102.0,314.0,18.0,0.0,36.0,36.0,12.0,2.0,1.0,324.0,324.0,687.0,1.012,Lindy,40,24,41,44,6,1,SS,19.0,7.0
Suzanna,48.0,306.0,17.0,0.0,9.0,18.0,4.0,0.0,3.0,156.0,156.0,408.0,0.565,Sheldon,20,11,17,25,2,0,LF,32.0,13.0
Haywood,77.0,260.0,8.0,40.0,41.0,20.0,8.0,7.0,0.0,296.0,39.0,526.0,0.916,Minx,40,22,28,55,6,0,CF,38.0,17.0
Shiori,88.0,268.0,19.0,21.0,16.0,39.0,14.0,0.0,2.0,328.0,377.0,791.0,1.168,Dyllie,26,10,38,22,5,3,RF,27.0,12.0
Sabella,112.0,280.0,19.0,5.0,23.0,54.0,16.0,0.0,0.0,4.0,410.0,910.0,1.321,Juice,22,2,35,12,1,1,,,
Duncan,49.0,257.0,13.0,23.0,12.0,17.0,7.0,3.0,2.0,190.0,257.0,463.0,0.72,Keith,12,5,19,13,1,1,,,
Luana,45.0,272.0,13.0,0.0,10.0,16.0,6.0,0.0,0.0,165.0,165.0,411.0,0.577,NF,5,2,6,6,1,0,,,
,,,,,,,,,,,,,,SZA,10,0,11,5,0,0,,,
