Name,Hits,Atbats,Hrs,Walks,1bs,2bs,3bs,So,RBI,Ba,Obp,Slg,Ops,pName,Innings,Runs,Ks,pHits,pWalks,Hr,Position,Opps,Throwouts
Vilfredo,70.0,180.0,11.0,4.0,32.0,17.0,10.0,29.0,18.0,388.0,402.0,777.0,1.179,1 Cale,45.0,5.0,111.0,9.0,11.0,5.0,2B,62.0,23.0
Claudia,67.0,175.0,3.0,4.0,49.0,12.0,3.0,28.0,12.0,382.0,396.0,537.0,0.9329999999999999,2 Lennox,45.0,4.0,92.0,17.0,8.0,3.0,3B,66.0,28.0
Clark,47.0,167.0,1.0,9.0,30.0,12.0,4.0,81.0,11.0,281.0,318.0,419.0,0.737,3 Suzanne,40.0,5.0,86.0,16.0,12.0,4.0,SS,67.0,44.0
Ella,28.0,167.0,3.0,5.0,14.0,9.0,2.0,97.0,12.0,167.0,191.0,299.0,0.491,4 Tess,40.0,3.0,85.0,19.0,7.0,3.0,LF,104.0,57.0
Lew,20.0,156.0,0.0,9.0,15.0,4.0,1.0,84.0,6.0,128.0,175.0,166.0,0.342,5 Humbert,40.0,20.0,24.0,49.0,6.0,6.0,CF,79.0,34.0
Byron,15.0,145.0,2.0,11.0,8.0,4.0,1.0,109.0,7.0,103.0,166.0,186.0,0.35200000000000004,6 Bowie,43.0,16.0,66.0,38.0,3.0,10.0,RF,60.0,38.0
Celeste,17.0,143.0,3.0,8.0,6.0,7.0,1.0,107.0,15.0,118.0,165.0,244.0,0.41,7 Jeanie,32.0,22.0,33.0,42.0,5.0,4.0,,,
Norwood,11.0,141.0,4.0,5.0,2.0,3.0,2.0,120.0,11.0,78.0,109.0,212.0,0.322,8 Rosaria,24.0,12.0,10.0,25.0,11.0,5.0,,,
Aline,7.0,141.0,2.0,4.0,2.0,2.0,1.0,105.0,4.0,49.0,75.0,120.0,0.196,9 Chastity,42.0,6.0,63.0,23.0,9.0,4.0,,,
,,,,,,,,,,,,,,10 Parnel,28.0,9.0,21.0,23.0,7.0,3.0,,,
,,,,,,,,,,,,,,,,,,,,,,,
