Name,Hits,Atbats,Hrs,Walks,1bs,2bs,3bs,So,RBI,Ba,Obp,Slg,Ops,pName,Innings,Runs,Ks,pHits,pWalks,Hr,Position,Opps,Throwouts
Tiffani,15.0,56.0,2.0,1.0,9.0,2.0,2.0,17.0,4.0,267.0,280.0,482.0,0.762,Eduardo R,15,4,33,9,1,2,2B,15.0,5.0
Rainbow,11.0,53.0,2.0,3.0,5.0,4.0,0.0,19.0,4.0,207.0,25.0,396.0,0.6459999999999999,Carmelo,10,2,7,11,2,1,3B,22.0,15.0
Melva,3.0,53.0,0.0,1.0,0.0,3.0,0.0,28.0,1.0,56.0,74.0,113.0,0.187,Permelia,15,6,17,12,5,0,SS,19.0,11.0
Joey,16.0,52.0,1.0,0.0,12.0,2.0,1.0,22.0,2.0,307.0,307.0,442.0,0.75,Ernie,15,2,34,3,1,1,LF,27.0,14.0
Vinicio,17.0,50.0,1.0,0.0,10.0,5.0,1.0,27.0,5.0,34.0,34.0,54.0,0.88,Shepherd,15,0,38,2,1,0,CF,17.0,9.0
Gary,5.0,49.0,1.0,1.0,2.0,1.0,1.0,24.0,4.0,102.0,12.0,224.0,0.344,6. Kyrie,14,0,34,0,1,0,RF,22.0,9.0
Miu,3.0,46.0,0.0,3.0,2.0,0.0,1.0,27.0,1.0,65.0,122.0,108.0,0.231,7. Joye,14,6,20,10,0,2,,,
Karolyn,2.0,45.0,1.0,3.0,0.0,1.0,0.0,38.0,1.0,44.0,104.0,133.0,0.237,8. Joann,13,2,23,9,2,1,,,
Ana,0.0,41.0,0.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,68.0,0.0,0.068,9. Alcide,1,1,1,3,1,0,,,
,,,,,,,,,,,,,,10. Tyla,14,2,24,8,2,1,,,
