Name,Hits,Atbats,Hrs,Walks,1bs,2bs,3bs,So,RBI,Ba,Obp,Slg,Ops,pName,Innings,Runs,Ks,pHits,pWalks,Hr,Position,Opps,Throwouts
Bryant Wright,18.0,53.0,2.0,4.0,10.0,5.0,1.0,22.0,6.0,339.0,385.0,584.0,0.97,1 Yuuri,15,0,43,0,2,0,2B,14.0,7.0
Peggy,5.0,54.0,0.0,2.0,4.0,1.0,0.0,27.0,0.0,92.0,125.0,111.0,0.23600000000000002,2 Raegan,10,0,28,1,0,0,3B,18.0,8.0
Edman,13.0,53.0,2.0,3.0,7.0,3.0,1.0,11.0,6.0,245.0,285.0,452.0,0.738,3 Squier,10,0,26,0,2,0,SS,20.0,7.0
Penelope,16.0,51.0,1.0,1.0,10.0,5.0,0.0,6.0,3.0,313.0,326.0,470.0,0.797,4 Eugene,10,6,18,11,3,2,LF,23.0,8.0
Mary,11.0,50.0,3.0,1.0,3.0,2.0,3.0,22.0,11.0,22.0,235.0,56.0,0.795,5 Julie,10,5,13,18,1,1,CF,29.0,17.0
Edmondson,13.0,44.0,3.0,4.0,6.0,3.0,1.0,11.0,8.0,295.0,354.0,613.0,0.9670000000000001,6 Ronald,10,9,8,14,0,6,RF,27.0,16.0
Katsuo,5.0,42.0,0.0,5.0,4.0,1.0,0.0,15.0,2.0,119.0,212.0,142.0,0.355,7. Ronnie,8,1,8,3,1,0,,,
Clarisa,3.0,43.0,0.0,3.0,2.0,0.0,1.0,37.0,0.0,69.0,130.0,116.0,0.24600000000000002,8. Concetto,4,2,1,8,1,1,,,
Gelsomina,5.0,45.0,1.0,1.0,3.0,0.0,1.0,32.0,1.0,111.0,130.0,222.0,0.352,9. Primrose,12,0,29,2,1,0,,,
,,,,,,,,,,,,,,10. Merv,14,5,14,15,5,3,,,
,,,,,,,,,,,,,,11. Harmonie,12,7,12,14,1,5,,,
