Name,Hits,Atbats,Hrs,Walks,1bs,2bs,3bs,So,RBI,Ba,Obp,Slg,Ops,pName,Innings,Runs,Ks,pHits,pWalks,Hr,Position,Opps,Throwouts
Sarrha,40.0,173.0,6.0,9.0,22.0,9.0,3.0,52.0,10.0,231.0,269.0,421.0,0.691,1 Berto,35.0,2.0,92.0,11.0,10.0,1.0,2B,66.0,25.0
Amia,35.0,173.0,8.0,7.0,14.0,10.0,3.0,73.0,11.0,202.0,233.0,433.0,0.6659999999999999,2 Mike,35.0,7.0,85.0,18.0,7.0,3.0,3B,50.0,36.0
Timeus,36.0,179.0,15.0,0.0,4.0,15.0,2.0,19.0,30.0,201.0,201.0,558.0,0.759,3 Max,35.0,9.0,66.0,19.0,4.0,4.0,SS,57.0,12.0
T'Pol,28.0,165.0,1.0,7.0,19.0,6.0,2.0,97.0,7.0,169.0,203.0,248.0,0.451,4 Nancy,35.0,17.0,55.0,36.0,8.0,8.0,LF,84.0,29.0
Ellen,24.0,157.0,5.0,10.0,7.0,9.0,3.0,23.0,14.0,152.0,203.0,343.0,0.547,5 Maria,35.0,14.0,59.0,27.0,10.0,6.0,CF,66.0,26.0
Febe,10.0,148.0,2.0,4.0,8.0,0.0,0.0,115.0,2.0,67.0,92.0,108.0,0.2,6 Jenaro,35.0,22.0,30.0,59.0,3.0,5.0,RF,66.0,26.0
Saul,14.0,140.0,2.0,7.0,4.0,6.0,2.0,101.0,3.0,1.0,142.0,214.0,0.35700000000000004,7 Brianne,42.0,1.0,117.0,8.0,3.0,1.0,,,
Abe,15.0,137.0,6.0,8.0,5.0,1.0,3.0,83.0,14.0,109.0,158.0,291.0,0.45,8 Quintin,44.0,3.0,121.0,13.0,6.0,2.0,,,
Eliakim,7.0,136.0,1.0,9.0,5.0,1.0,0.0,98.0,2.0,51.0,110.0,80.0,0.191,9. Melinda,38.0,19.0,49.0,39.0,6.0,5.0,,,
,,,,,,,,,,,,,,10 Luella,39.0,11.0,72.0,23.0,7.0,4.0,,,
,,,,,,,,,,,,,,11 Farley,24.0,12.0,17.0,24.0,2.0,3.0,,,
,,,,,,,,,,,,,,,,,,,,,,,
