Name,Hits,Atbats,Hrs,Walks,1bs,2bs,3bs,So,RBI,Ba,Obp,Slg,Ops,pName,Innings,Runs,Ks,pHits,pWalks,Hr,Position,Opps,Throwouts
Abilio,21.0,53.0,0.0,4.0,17.0,2.0,2.0,13.0,0.0,396.0,438.0,509.0,0.948,1 Piety,15.0,0.0,37.0,1.0,2.0,0.0,2B,22.0,11.0
Saige,14.0,50.0,2.0,4.0,10.0,2.0,0.0,16.0,4.0,28.0,333.0,44.0,0.773,2 Tomoko,10.0,0.0,19.0,2.0,1.0,0.0,3B,22.0,15.0
Teresa,11.0,51.0,3.0,3.0,1.0,5.0,2.0,15.0,7.0,215.0,259.0,568.0,0.8270000000000001,3 Yoshi,10.0,0.0,17.0,2.0,2.0,0.0,SS,24.0,13.0
Brian,17.0,49.0,4.0,4.0,8.0,2.0,3.0,14.0,9.0,346.0,396.0,755.0,1.151,4 Jennifer,10.0,7.0,16.0,11.0,3.0,2.0,LF,39.0,23.0
Laurence,4.0,48.0,2.0,5.0,1.0,1.0,0.0,16.0,3.0,83.0,169.0,229.0,0.398,5 Urban,10.0,0.0,10.0,4.0,1.0,0.0,CF,31.0,13.0
Bobbie,8.0,51.0,2.0,2.0,5.0,0.0,1.0,13.0,5.0,156.0,188.0,313.0,0.502,6 Kody,10.0,8.0,5.0,16.0,1.0,2.0,RF,13.0,2.0
Reid,12.0,50.0,1.0,2.0,4.0,7.0,0.0,34.0,1.0,24.0,269.0,44.0,0.7090000000000001,7 Richmal,14.0,1.0,15.0,11.0,2.0,0.0,,,
Lindsay,3.0,50.0,1.0,0.0,0.0,0.0,2.0,42.0,1.0,6.0,6.0,2.0,0.26,8 Paca,14.0,2.0,38.0,4.0,1.0,2.0,,,
Bernardetta,3.0,45.0,3.0,1.0,0.0,0.0,0.0,30.0,3.0,66.0,86.0,266.0,0.353,9. Thomas,8.0,4.0,5.0,9.0,0.0,1.0,,,
,,,,,,,,,,,,,,10 Haydee,7.0,4.0,4.0,8.0,0.0,1.0,,,
,,,,,,,,,,,,,,11 Verner,13.0,2.0,7.0,14.0,1.0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,
