Name,Hits,Atbats,Hrs,Walks,1bs,2bs,3bs,So,RBI,Ba,Obp,Slg,Ops,pName,Innings,Runs,Ks,pHits,pWalks,Hr,Position,Opps,Throwouts
Boffy,153.0,359.0,23.0,4.0,31.0,77.0,22.0,4.0,1.0,428.0,434.0,960.0,1.395,Hands,80,50,83,76,9,3,2B,9.0,2.0
Romi,112.0,358.0,9.0,0.0,82.0,17.0,4.0,1.0,2.0,310.0,310.0,457.0,0.768,Limp,40,20,44,36,5,2,3B,5.0,2.0
Roxana,79.0,347.0,29.0,0.0,13.0,29.0,8.0,2.0,1.0,230.0,230.0,615.0,0.845,Juju,45,20,40,35,5,3,SS,10.0,6.0
Anthony,136.0,334.0,30.0,0.0,29.0,55.0,22.0,0.0,7.0,409.0,409.0,978.0,1.3869999999999998,Seven,25,18,21,29,3,1,LF,50.0,29.0
Nevada,112.0,331.0,6.0,0.0,85.0,11.0,10.0,1.0,2.0,339.0,339.0,489.0,0.828,Eagles,30,13,13,24,3,0,CF,39.0,21.0
Jase,77.0,318.0,10.0,0.0,45.0,21.0,1.0,3.0,3.0,238.0,238.0,398.0,0.636,Brady,32,6,37,25,5,1,RF,36.0,14.0
Ainara,51.0,284.0,16.0,26.0,8.0,20.0,7.0,2.0,0.0,174.0,241.0,459.0,0.7,Link,38,12,44,28,4,3,,,
Marina,58.0,260.0,7.0,38.0,42.0,6.0,3.0,0.0,1.0,218.0,319.0,343.0,0.6629999999999999,Nigg,18,6,25,14,1,2,,,
Reina,20.0,293.0,3.0,1.0,8.0,7.0,2.0,14.0,0.0,69.0,72.0,138.0,0.21,Defence,16,9,8,11,2,4,,,
,,,,,,,,,,,,,,Fields,15,10,14,16,1,2,,,
